State,Population,GDP,Colour
Acre,790101,13.622,#7570b3
Alagoas,3321730,46.364,#7570b3
Amapa,750912,13.861,#7570b3
Amazonas,3873743,86.56,#7570b3
Bahia,15126371,245.025,#7570b3
Ceara,8842791,130.621,#7570b3
Distrito Federal,2852372,215.613,#7570b3
Espirito Santo,3885049,120.363,#e6ab02
Goias,6523222,173.632,#7570b3
Maranhao,6850884,78.475,#7570b3
Mato Grosso,3224357,107.418,#7570b3
Mato Grosso do Sul,2619657,83.082,#7570b3
Minas Gerais,20734097,519.326,#7570b3
Para,8073924,130.883,#7570b3
Paraiba,3943885,56.14,#7570b3
Parana,11081692,376.96,#e6ab02
Pernambuco,9277727,156.955,#7570b3
Piaui,3194718,39.148,#7570b3
Rio de Janeiro,16461173,659.137,#e6ab02
Rio Grande do Norte,3408510,57.25,#7570b3
Rio Grande do Sul,11207274,381.985,#e6ab02
Rondonia,1748531,36.563,#7570b3
Roraima,496936,10.354,#7570b3
Santa Catarina,6727148,249.073,#e6ab02
Sao Paulo,44035304,1939.89,#e6ab02
Sergipe,2219574,38.554,#7570b3
Tocantins,1496880,28.93,#7570b3
