Region,Population,GDP (million CZK),Colour,,purple,yellow,
South Moravian,1169788,12117,#e6ab02,,,12117,
South Bohemian,637460,6399,#7570b3,,6399,,
Karlovy Vary,310245,2789,#7570b3,,2789,,
Vysocina,512727,5142,#7570b3,,5142,,
Hradec Kralove,555683,5670,#e6ab02,,,5670,
Liberec,439262,4004,#7570b3,,4004,,
Moravian-Silesian,1236028,11878,#e6ab02,,,11878,
Olomouc,639946,5696,#e6ab02,,,5696,
Pardubice,505285,4944,#e6ab02,,,4944,
Plzen,574694,5846,#7570b3,,5846,,
Prague,1272690,27031,#7570b3,,27031,,
Central Bohemian,1274633,12246,#7570b3,,12246,,
Zlin,590459,5586,#e6ab02,,,5586,
Usti nad Labem,830371,7971,#7570b3,,7971,,
,,,,,71428,45891,25537
