State,Population,Population (people),Colour
Baden-Wuerttemberg,10879618,9822027,#e6ab02
Bayern,12843514,11448823,#7570b3
Berlin,3520031,3433695,#7570b3
Brandenburg,2484826,2578312,#7570b3
Bremen,671489,681665,#e6ab02
Hamburg,1787408,1652363,#e6ab02
Hessen,6176172,5763310,#e6ab02
Mecklenburg-Vorpommern,1612362,1923959,#7570b3
Niedersachsen,7926599,7387245,#e6ab02
Nordrhein-Westfalen,17865516,17349651,#e6ab02
Rheinland-Pfalz,4052803,3763510,#e6ab02
Saarland,995597,1072963,#e6ab02
Sachsen,4084851,4764301,#7570b3
Sachsen-Anhalt,2245470,2873957,#7570b3
Schleswig-Holstein,2858714,2626127,#e6ab02
Thueringen,2170714,2611319,#7570b3
