State,Population,COVID-19 (people),Colour,,purple,yellow,
Hamburg,1787408,10407,#7570b3,,10407,,
Niedersachsen,7926599,27426,#7570b3,,27426,,
Bremen,671489,3868,#7570b3,,3868,,
Nordrhein-Westfalen,17865516,97507,#e6ab02,,,97507,
Hessen,6176172,28440,#e6ab02,,,28440,
Rheinland-Pfalz,4052803,14640,#e6ab02,,,14640,
Baden-Wuerttemberg,10879618,63132,#e6ab02,,,63132,
Bayern,12843514,84090,#7570b3,,84090,,
Saarland,995597,4625,#e6ab02,,,4625,
Berlin,3520031,23698,#7570b3,,23698,,
Brandenburg,2484826,5948,#7570b3,,5948,,
Mecklenburg-Vorpommern,1612362,1877,#7570b3,,1877,,
Sachsen,4084851,11507,#7570b3,,11507,,
Sachsen-Anhalt,2245470,3487,#7570b3,,3487,,
Thueringen,2170714,5250,#7570b3,,5250,,
Schleswig-Holstein,2858714,6147,#7570b3,,6147,,
,,,,,183705,208344,24639
