Province,Population,Population (1985) (People),Colour,,,,
Attapeu,156800,69631,#7570b3,,,,
Bokeo,200100,54925,#e6ab02,,200100,54925,
Borikhamxai,309500,122300,#e6ab02,,309500,122300,
Champasak,743200,403041,#7570b3,,,,
Houaphanh,308700,209921,#e6ab02,,308700,209921,
Khammouane,427400,213462,#7570b3,,,,
Luang Namtha,195800,97028,#e6ab02,,195800,97028,
Luang Prabang,463300,295475,#e6ab02,,463300,295475,
Oudomxay,340100,187115,#e6ab02,,340100,187115,
Phongsaly,191500,122984,#e6ab02,,191500,122984,
Salavan,434700,187515,#7570b3,,,,
Savannakhet,1053900,543611,#7570b3,,,,
Vientiane [Prefecture],927700,377409,#e6ab02,,927700,377409,
Vientiane,456400,264277,#e6ab02,,456400,264277,
Xaignabouli,417800,223611,#e6ab02,,417800,223611,
Xaisomboun,105000,44112,#e6ab02,,105000,44112,
Sekong,127000,50909,#7570b3,,,,
Xiangkhouang,264500,161589,#e6ab02,,264500,161589,
,,,,,4180400,2160746,2019654
