State,GDP_billion,Colour
Acre,13.622,#e6ab02
Alagoas,46.364,#1b9e77
Amapa,13.861,#7570b3
Amazonas,86.56,#1b9e77
Bahia,245.025,#e6ab02
Ceara,130.621,#d95f02
Distrito Federal,215.613,#e7298a
Espirito Santo,120.363,#e7298a
Goias,173.632,#1b9e77
Maranhao,78.475,#7570b3
Mato Grosso,107.418,#e6ab02
Mato Grosso do Sul,83.082,#d95f02
Minas Gerais,519.326,#7570b3
Para,130.883,#e7298a
Paraiba,56.14,#7570b3
Parana,376.96,#e6ab02
Pernambuco,156.955,#e7298a
Piaui,39.148,#66a61e
Rio de Janeiro,659.137,#e6ab02
Rio Grande do Norte,57.25,#66a61e
Rio Grande do Sul,381.985,#1b9e77
Rondonia,36.563,#e7298a
Roraima,10.354,#d95f02
Santa Catarina,249.073,#e7298a
Sao Paulo,1939.89,#66a61e
Sergipe,38.554,#e7298a
Tocantins,28.93,#d95f02
