State,Population_2018,Population_1961,Colour
Andaman and Nicobar Islands,379944,64160,#66a61e
Andhra Pradesh,49386799,35983480,#1b9e77
Arunachal Pradesh,1382611,337300,#e6ab02
Assam,31169272,10837700,#d95f02
Bihar,103804637,34841490,#e6ab02
Chandigarh,1055450,120480,#1b9e77
Chhattisgarh,25540196,9154330,#e7298a
Dadra and Nagar Haveli,342853,58020,#e7298a
Daman and Diu,242911,37587,#1b9e77
Delhi,18980000,2659990,#d95f02
Goa,1457723,590875,#66a61e
Gujarat,60383628,20633305,#d95f02
Haryana,25353081,7591190,#66a61e
Himachal Pradesh,6864602,2812300,#7570b3
Jammu and Kashmir,12548926,3561100,#e6ab02
Jharkhand,32966238,11606504,#66a61e
Karnataka,61130704,23587910,#e6ab02
Kerala,33387677,16904560,#1b9e77
Madhya Pradesh,72597565,23218950,#e6ab02
Maharashtra,112372972,39554900,#7570b3
Manipur,2721756,780340,#7570b3
Meghalaya,2964007,769990,#7570b3
Mizoram,1091014,266200,#e7298a
Nagaland,1980602,369309,#66a61e
Odisha,41947358,17549500,#d95f02
Puducherry,1244464,369355,#d95f02
Punjab,27704236,11135404,#e7298a
Rajasthan,68621012,20156540,#7570b3
Sikkim,607688,162863,#e7298a
Tamil Nadu,72138958,33687100,#e7298a
Telangana,35286757,NA,#66a61e
Tripura,3671032,1142282,#7570b3
Uttar Pradesh,207281477,70144160,#1b9e77
Uttarakhand,10116752,3611200,#d95f02
West Bengal,91347736,34926000,#1b9e77
