Province,Population_2018,Population_1985,Colour
Attapeu,156800,69631,#7570b3
Bokeo,200100,54925,#e6ab02
Borikhamxai,309500,122300,#e6ab02
Champasak,743200,403041,#7570b3
Houaphanh,308700,209921,#e6ab02
Khammouane,427400,213462,#7570b3
Luang Namtha,195800,97028,#e6ab02
Luang Prabang,463300,295475,#e6ab02
Oudomxay,340100,187115,#e6ab02
Phongsaly,191500,122984,#e6ab02
Salavan,434700,187515,#7570b3
Savannakhet,1053900,543611,#7570b3
Vientiane [Prefecture],927700,377409,#e6ab02
Vientiane,456400,264277,#e6ab02
Xaignabouli,417800,223611,#e6ab02
Xaisomboun,105000,44112,#e6ab02
Sekong,127000,50909,#7570b3
Xiangkhouang,264500,161589,#e6ab02
