Region,Population,Population (people),Colour,,,,
Auckland,1590261,943776,#7570b3,,,,
Bay of Plenty,313380,203982,#7570b3,,,,
Canterbury,614628,438171,#e6ab02,,614628,438171,
Gisborne,47565,44265,#7570b3,,,,
Hawke's Bay,170448,138342,#7570b3,,,,
Manawatu-Wanganui,241182,224760,#7570b3,,,,
Marlborough,50562,35148,#e6ab02,,50562,35148,
Nelson,53082,36456,#e6ab02,,53082,36456,
Northland,181047,126786,#7570b3,,,,
Otago,239313,177525,#e6ab02,,239313,177525,
Southland,101571,99954,#e6ab02,,101571,99954,
Taranaki,118215,107127,#7570b3,,,,
Tasman,55206,34026,#e6ab02,,55206,34026,
Waikato,466110,331026,#7570b3,,,,
Wellington,514752,400284,#7570b3,,,,
West Coast,35202,31563,#e6ab02,,35202,31563,
,,,,,1149564,852843,296721
