Region,Population,GDP,Colour
Auckland,1590261,75703310440,#e6ab02
Bay of Plenty,313380,11095661456,#e6ab02
Canterbury,614628,24859899718,#7570b3
Gisborne,47565,1404514108,#e6ab02
Hawke's Bay,170448,5688282139,#e6ab02
Manawatu-Wanganui,241182,7514150480,#e6ab02
Marlborough,50562,2106771163,#7570b3
Nelson,53082,NA,#7570b3
Northland,181047,5196702201,#e6ab02
Otago,239313,8918664588,#7570b3
Southland,101571,4073090914,#7570b3
Taranaki,118215,5688282139,#e6ab02
Tasman,55206,3651736682,#7570b3
Waikato,466110,16783943595,#e6ab02
Wellington,514752,26053736710,#e6ab02
West Coast,35202,1123611287,#7570b3
