Region,Population,Colour
Cherkasy,1186848,#e6ab02
Chernihiv,986199,#7570b3
Chernivtsi,899755,#7570b3
Crimea,1911818,#e6ab02
Dnipropetrovsk,3164030,#7570b3
Donetsk,4120098,#1b9e77
Ivano-Frankivsk,1365366,#d95f02
Kharkiv,2649501,#e7298a
Kherson,1023856,#66a61e
Khmelnytskyi,1250797,#d95f02
Kiev,1781891,#e7298a
Kiev City,2965013,#d95f02
Kirovohrad,928242,#66a61e
Lviv,2506733,#1b9e77
Luhansk,2130788,#66a61e
Mykolayiv,1115657,#e6ab02
Odessa,2373758,#e7298a
Poltava,1381365,#d95f02
Rivne,1151266,#7570b3
Sevastopol,443212,#1b9e77
Sumy,1063015,#1b9e77
Ternopil,1035881,#e6ab02
Transcarpathia,1252693,#7570b3
Vinnytsya,1539308,#1b9e77
Volyn,1030157,#e7298a
Zaporizhzhya,1679889,#d95f02
Zhytomyr,1203652,#66a61e
